date,id,prec,tair,tw,tmax,tmin,urmax,patm,pnmm,wd,wsmax,n,cc,evap,ur,ws,request_status
2019-02-23T00:00:00Z,83781,-9999,22,20.1,31.6,-9999,80,927.1,1015.1,14,2.5,-9999,10,1.5,72,0,Success: (200) OK
2019-02-23T12:00:00Z,83781,9.8,25,22.1,-9999,19.6,75,925.6,1013.5,0,0,-9999,1,-9999,-9999,-9999,Success: (200) OK
2019-02-24T00:00:00Z,83781,-9999,24.8,21.1,32.5,-9999,71,923.9,1011.4,0,0,-9999,10,7.5,70,0.8,Success: (200) OK
2019-02-24T12:00:00Z,83781,0,27,22.8,-9999,22.1,69,924,1011.8,14,1.6,-9999,7,-9999,-9999,-9999,Success: (200) OK
2019-02-25T00:00:00Z,83781,-9999,25,21.1,31.6,-9999,70,923.5,1010.8,0,0,-9999,7,7.8,80,3.15,Success: (200) OK
2019-02-25T12:00:00Z,83781,3.6,25.4,20.7,-9999,19.3,65,923.5,1010.9,23,3,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-26T00:00:00Z,83781,-9999,20.8,19.8,27.6,-9999,88,922,1009.7,14,3.3,-9999,10,4.9,91,2.3,Success: (200) OK
2019-02-26T12:00:00Z,83781,47.8,19.5,19.3,-9999,18.3,98,925.3,1013.9,14,3,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-27T00:00:00Z,83781,-9999,20.8,19.3,27.8,-9999,87,925.1,1013.7,23,1.6,-9999,10,1.8,84,2.3,Success: (200) OK
2019-02-27T12:00:00Z,83781,17,21.8,19.1,-9999,18.2,75,924.8,1013.1,23,1.3,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-28T00:00:00Z,83781,-9999,22.5,21,22.7,-9999,88,924.5,1012.4,27,3.3,-9999,10,2.9,93.75,2.633333,Success: (200) OK
2019-02-28T12:00:00Z,83781,17.6,21.2,19.9,-9999,20.2,88,925.2,1013.3,14,1.3,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-28T18:00:00Z,83781,-9999,22,21.5,-9999,-9999,95,924.6,1012.2,14,3,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-03-01T00:00:00Z,83781,-9999,20.5,20.1,23.4,-9999,96,924.6,1012.5,23,3.6,-9999,10,0.8,88.25,1.6,Success: (200) OK
2019-03-01T12:00:00Z,83781,27.1,21.8,20.6,-9999,19.3,88,926.2,1014.7,27,1.6,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-03-01T18:00:00Z,83781,-9999,22.6,21.3,-9999,-9999,87,924.6,1012.6,27,1.6,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-03-02T00:00:00Z,83781,-9999,21.4,20.3,28,-9999,89,925.8,1014,27,1.6,-9999,10,4.2,85.25,1.366667,Success: (200) OK
2019-03-02T12:00:00Z,83781,2.4,21.5,20.3,-9999,19.6,89,927.6,1015.9,0,0,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-03-02T18:00:00Z,83781,-9999,25.8,21.7,-9999,-9999,68,924.3,1011.8,32,1.6,-9999,10,-9999,-9999,-9999,Success: (200) OK
